osmid_x,x,y,name,weighted_dist,oneway,highway
6195261,51484958,51546998,Southwest McKenzie Street,0.687044428108115,,residential
6196613,51523199,51546998,Southwest Church Street,1.6454092356605652,,residential
6189421,51484960,11220599032,,0.08421230798366706,,service
6189421,11220599032,11220599033,,0.08663808092367976,,service
6189421,11220599033,11220599034,,0.15457661681908047,,service
6189421,11220599034,11220599035,,0.14262581505652705,,service
6189421,11220599035,51485023,,0.192838242806601,,service
6194674,51539265,51485023,Southwest State Street,1.145018690150005,,residential
6189429,51485092,51485093,,0.3302696120454167,,service
6189436,51485092,3120655474,,0.1684887473057249,,residential
6189436,51485155,51485092,,0.34758663069572265,,residential
6195680,51485155,51499798,Summer Fallow Lane,0.4672552815708503,,residential
6190949,11220598899,51499798,,0.27261691519107545,,service
6189436,3120655474,51485158,,0.12188463602611709,,residential
6189436,51485158,51503648,,0.1385672803889605,,residential
184380387,51485158,51485166,,0.4167037263532913,,service
6189502,51485860,382399786,,0.6214858461380626,,service
6189502,382399786,382399792,,2.4000348408201257,,service
33526840,382399804,382399792,,0.4666919462712503,,service
33526844,382399815,382399792,,0.10096565405760427,,service
33526839,382399786,382399793,,0.36010036618074925,,service
6189502,382399792,51485863,,0.8394630035098885,,service
6189502,51485863,51485865,,0.3855668173948215,,service
33526846,382399813,51485865,,0.14645769705839837,,service
6189502,51485865,382399807,,0.5066186921106822,,service
33526843,382399813,382399807,,0.5240560292814582,,service
6189502,382399807,382399808,,0.06243947321191782,,service
6189502,382399808,51485867,,0.15280349837282065,,service
33526844,382399808,382399809,,0.5168559887261825,,service
6189502,51485867,51485869,,0.18345005463145175,,service
33526839,382399812,51485869,,0.13199330949209806,,service
6189518,444144981,8203448629,,0.06360217588870716,,residential
6196238,444144981,8203448633,Southeast Professional Mall Boulevard,0.23911508647010846,,residential
6189518,8203448629,51486006,,0.1564788497949217,,residential
6189518,51486006,444130092,,1.9434837580741604,,residential
6189518,444130092,51486014,,2.5176447970756004,,residential
6189520,8203430796,51486014,,0.3779944774983485,,residential
6189520,51486050,5740742050,,0.08355329604622964,,residential
6196238,51486050,5541067500,Southeast Professional Mall Boulevard,0.36302699054212206,,residential
578218244,8525222451,5541067500,,0.07658068353869917,,service
6189520,5740742050,8203430796,,0.14001242255135252,,residential
6189520,51486014,51486051,,0.40814163524805797,,residential
6189520,51486051,581288215,,2.4701092165302923,,residential
6189520,581288215,8203430795,,1.8313126971444547,,residential
6189564,51486562,51486563,,0.4765425140044218,,service
421949583,51486562,51525768,South Grand Avenue,1.4211379731474099,,primary
6193542,51525766,51525768,Southwest Daisy Street,0.5023224380297355,,residential
6189564,51486563,51486564,,0.13142923429217582,,service
6189564,51486564,51486565,,0.16443396330456286,,service
6189638,51487168,51487170,,0.6681563188077104,,service
6195993,51487168,3120566332,Brayton Road,1.5337667895853644,,residential
