osmid,lat,lon
51495333,46.7273116,-117.1142476
51495334,46.7270665,-117.1154498
51495337,46.7263753,-117.1176316
51495338,46.7262149,-117.1183828
51495339,46.7254396,-117.1208610
51495344,46.7241514,-117.1244666
51495349,46.7248077,-117.1248684
51496068,46.7443697,-117.1516246
51496070,46.7443166,-117.1515233
51496075,46.7443149,-117.1514581
51496078,46.7443379,-117.1511947
51496080,46.7442465,-117.1509413
51496084,46.7442044,-117.1508982
51496088,46.7441785,-117.1508728
51496093,46.7436845,-117.1516654
51496096,46.7436985,-117.1520570
51496097,46.7439838,-117.1528059
51496227,46.7296229,-117.1745480
51496229,46.7293097,-117.1743520
51496239,46.7228401,-117.1603100
51496241,46.7231180,-117.1593236
51496243,46.7220137,-117.1554304
51496244,46.7217495,-117.1554064
51496448,46.7877718,-117.3077254
51496463,46.7327246,-117.1740798
51496464,46.7332410,-117.1752869
51496506,46.7168266,-117.1043506
51496507,46.7165711,-117.1041532
51496509,46.7164582,-117.1040156
51496511,46.7161904,-117.1036305
51496513,46.7160643,-117.1035136
51496515,46.7157349,-117.1032475
51496519,46.6896348,-117.1174769
51496859,46.7435029,-117.2335389
51496862,46.7442625,-117.2342875
51496866,46.7443009,-117.2350396
51496868,46.7439920,-117.2352778
51496870,46.7437723,-117.2371572
51496871,46.7439782,-117.2408485
51496873,46.7438122,-117.2418978
51496875,46.7436253,-117.2422170
51496878,46.7435100,-117.2429277
51496882,46.7426193,-117.2480939
51496885,46.7424998,-117.2486280
51496888,46.7414680,-117.2510070
51496891,46.7408270,-117.2525960
51496893,46.7402570,-117.2544920
51496899,46.7401510,-117.2553060
51496906,46.7400970,-117.2557230
51496909,46.7398470,-117.2568530
51496911,46.7395500,-117.2574190
51497145,46.6952584,-117.2442698
51497597,46.7319027,-117.1971971
51497600,46.7318346,-117.1973795
51497602,46.7317184,-117.1982349
51497633,46.7315132,-117.1983250
51497637,46.7311935,-117.1982350
51497733,46.7669211,-117.0469250
51497773,46.7601240,-117.0800377
51497774,46.7602970,-117.0802413
51497776,46.7605994,-117.0827827
51498494,46.7121900,-117.1498040
51498495,46.7122418,-117.1490601
51498497,46.7124947,-117.1485014
51498698,46.7328097,-117.2107526
51498700,46.7323606,-117.2107584
51498702,46.7322755,-117.2112185
51498703,46.7323869,-117.2114310
51498706,46.7321979,-117.2102724
51498788,46.7078138,-117.1302848
51498790,46.7074355,-117.1304179
51498792,46.7066001,-117.1305879
51498794,46.7061322,-117.1307945
51498802,46.7057984,-117.1311021
51499185,46.7329922,-117.2083439
51499186,46.7332681,-117.2085379
51499192,46.7330432,-117.2079173
51499194,46.7332657,-117.2079333
51499204,46.7068501,-117.1081427
51499205,46.7057989,-117.1082312
51499207,46.7055631,-117.1083977
51499210,46.7067726,-117.1072176
51499212,46.7055708,-117.1072793
51499474,46.7090998,-117.1513212
51499475,46.7120210,-117.1520235
51499476,46.7120918,-117.1520225
51499477,46.7124084,-117.1518008
51499481,46.7422276,-117.1580117
51499483,46.7422377,-117.1587624
51499485,46.7422101,-117.1589150
51499486,46.7419296,-117.1596568
51499487,46.7418550,-117.1596924
51499488,46.7415434,-117.1597348
51499490,46.7413270,-117.1596006
51499538,46.7003896,-117.0812871
51499541,46.7006615,-117.0818099
51499675,46.7072026,-117.0691795
51499735,46.7328709,-117.2078213
51499737,46.7328494,-117.2080999
51499750,46.7324819,-117.2073948
51499751,46.7324811,-117.2077620
51499753,46.7324284,-117.2080835
51499757,46.7321565,-117.2075238
51499758,46.7321527,-117.2077225
51499760,46.7320291,-117.2080780
51499762,46.7317587,-117.2074716
51499764,46.7316014,-117.2076063
51499766,46.7439154,-117.1561638
51499767,46.7442602,-117.1559110
51499776,46.7325599,-117.2066140
51499778,46.7325849,-117.2063473
51499783,46.7317479,-117.1928155
51499784,46.7316553,-117.1930890
51499787,46.7316424,-117.1931900
51499792,46.7331716,-117.2105188
51499793,46.7328632,-117.2104611
51499797,46.7331743,-117.2098903
51499798,46.7328687,-117.2098327
51499839,46.7404047,-117.1612746
51499840,46.7403638,-117.1617255
51499849,46.7402242,-117.1616977
51499856,46.7401939,-117.1620755
51499858,46.7402843,-117.1621619
51499860,46.7402361,-117.1627425
51499920,46.7407353,-117.1632949
51499923,46.7183150,-117.1851305
51499927,46.7184591,-117.1852227
51499930,46.7189691,-117.1850222
51499934,46.7180914,-117.1855925
51499936,46.7181784,-117.1857109
51499938,46.7182866,-117.1857895
51499940,46.7184571,-117.1858461
51499945,46.7180436,-117.1865464
51499947,46.7181684,-117.1866631
51499949,46.7184706,-117.1866794
51499951,46.7192138,-117.1858115
51500301,46.7377655,-117.1302106
51500320,46.7330462,-117.1272429
51500459,46.7333519,-117.1884679
51500461,46.7330555,-117.1876725
51500464,46.7327357,-117.1866702
51500467,46.7325867,-117.1820298
51500470,46.7322133,-117.1811565
51500507,46.7384206,-117.1885823
51500511,46.7385255,-117.1886005
51500563,46.7040036,-117.1670063
51500564,46.7037838,-117.1662674
51500565,46.7045273,-117.1654606
51500567,46.7039256,-117.1637086
51500569,46.7038411,-117.1636227
51500571,46.7038022,-117.1634929
51500572,46.7038085,-117.1633725
51500574,46.7038336,-117.1624714
51500577,46.7038091,-117.1622352
51500579,46.7036897,-117.1617648
51500581,46.7036774,-117.1615038
51500582,46.7040386,-117.1609157
51500584,46.7045970,-117.1612623
51500593,46.7007157,-117.1586422
51500595,46.7011084,-117.1582636
51500597,46.7024855,-117.1578773
51500712,46.7080089,-117.1621412
51500713,46.7078219,-117.1619389
51500716,46.7070350,-117.1618558
51500717,46.7065678,-117.1618184
51500719,46.7062300,-117.1618345
51500756,46.7082766,-117.1621479
51500793,46.7229101,-117.1875890
51500796,46.7216797,-117.1872605
51500805,46.7215653,-117.1883721
51500808,46.7215241,-117.1887975
51500817,46.7203298,-117.1877190
51500839,46.7285903,-117.1966273
51500840,46.7290550,-117.1965037
51501079,46.7319308,-117.1482828
51501081,46.7316719,-117.1407711
51501083,46.7315134,-117.1392036
51501086,46.7313055,-117.1380848
51501088,46.7311701,-117.1375850
51501092,46.7310532,-117.1373235
51501104,46.7331707,-117.1343545
51501153,46.7290249,-117.1757478
51501158,46.7286356,-117.1765001
51501159,46.7285262,-117.1772222
51501650,46.7138602,-117.1560093
51501654,46.7138679,-117.1559067
51501656,46.7138413,-117.1557778
51501658,46.7132048,-117.1540417
51501661,46.7130310,-117.1535507
51501662,46.7129226,-117.1531076
51501664,46.7128519,-117.1525454
51501666,46.7128537,-117.1524029
51501669,46.7130168,-117.1519911
51501680,46.7136264,-117.1537273
51501777,46.7403456,-117.1521198
51501781,46.7400715,-117.1516635
51502188,46.7120767,-117.1863857
51502189,46.7114328,-117.1862200
51502191,46.7111601,-117.1860670
51502194,46.7301501,-117.1666075
51502346,46.7423075,-117.1524197
51502347,46.7423887,-117.1540652
51502348,46.7425299,-117.1537262
51502352,46.7428757,-117.1505263
51502353,46.7429204,-117.1504346
51502354,46.7434878,-117.1496351
51502377,46.7423097,-117.1517299
51502637,46.7120876,-117.1620114
51502830,46.7354994,-117.1864590
51502831,46.7356347,-117.1866613
51503019,46.7332151,-117.1558370
51503021,46.7331134,-117.1548209
51503025,46.7333221,-117.1514942
51503026,46.7334916,-117.1505306
51503028,46.7329529,-117.1501749
51503228,46.7138166,-117.1561553
51503231,46.7204716,-117.1612827
51503286,46.7473192,-117.0538106
51503648,46.7323458,-117.2091880
51503691,46.7374031,-117.1783328
51503701,46.7373969,-117.1797606
51503703,46.7374246,-117.1799803
51503705,46.7374389,-117.1802050
51503706,46.7374387,-117.1804996
51503708,46.7374239,-117.1807333
51503875,46.7653341,-117.0733719
51503876,46.7654531,-117.0735755
51503878,46.7657217,-117.0742584
51503880,46.7663036,-117.0744802
51503882,46.7667366,-117.0746730
51503884,46.7674063,-117.0752529
51503886,46.7681168,-117.0764425
51503888,46.7686861,-117.0767558
51503890,46.7691237,-117.0766702
51503892,46.7705390,-117.0740038
51503894,46.7707543,-117.0738107
51503896,46.7719111,-117.0744137
51503898,46.7724523,-117.0748584
51503899,46.7743077,-117.0748723
51503901,46.7745184,-117.0749142
51503903,46.7752633,-117.0749061
51503905,46.7761592,-117.0749042
51505230,46.6971651,-117.1523391
51505231,46.6967399,-117.1497083
51505233,46.6962123,-117.1481401
51505234,46.6953591,-117.1479271
51505236,46.6948638,-117.1474376
51505237,46.6947492,-117.1471150
51505239,46.6947781,-117.1456046
51505240,46.6952241,-117.1438078
